time,open,high,low,close,tick_volume,spread,real_volume
2026-01-27 10:20:00,5086.43,5086.84,5085.71,5086.73,371,14,0
2026-01-27 10:21:00,5086.73,5086.94,5084.08,5085.64,438,12,0
2026-01-27 10:22:00,5085.64,5086.45,5085.0,5085.78,408,12,0
2026-01-27 10:23:00,5085.78,5086.39,5084.89,5085.5,346,12,0
2026-01-27 10:24:00,5085.5,5085.5,5082.15,5083.75,444,12,0
2026-01-27 10:25:00,5083.76,5083.97,5081.85,5082.6,482,14,0
2026-01-27 10:26:00,5082.6,5083.42,5081.15,5082.11,471,12,0
2026-01-27 10:27:00,5082.11,5082.94,5080.25,5080.49,369,17,0
2026-01-27 10:28:00,5080.49,5081.38,5079.62,5079.79,486,12,0
2026-01-27 10:29:00,5079.8,5079.8,5075.23,5077.59,925,12,0
2026-01-27 10:30:00,5077.58,5078.52,5076.42,5076.96,630,12,0
2026-01-27 10:31:00,5076.96,5079.17,5074.5,5074.84,601,12,0
2026-01-27 10:32:00,5074.84,5075.25,5073.52,5074.88,622,12,0
2026-01-27 10:33:00,5074.87,5077.14,5074.29,5074.55,443,14,0
2026-01-27 10:34:00,5074.54,5076.88,5073.28,5076.22,552,12,0
2026-01-27 10:35:00,5076.22,5081.02,5075.0,5081.0,787,12,0
2026-01-27 10:36:00,5081.02,5082.13,5080.31,5080.7,667,12,0
2026-01-27 10:37:00,5080.7,5081.59,5079.43,5080.54,501,12,0
2026-01-27 10:38:00,5080.56,5081.55,5079.54,5080.58,417,12,0
2026-01-27 10:39:00,5080.58,5081.27,5078.24,5079.18,516,12,0
2026-01-27 10:40:00,5079.19,5079.25,5077.33,5078.34,608,12,0
2026-01-27 10:41:00,5078.34,5080.72,5078.27,5080.65,477,12,0
2026-01-27 10:42:00,5080.65,5082.61,5080.65,5080.82,411,12,0
2026-01-27 10:43:00,5080.83,5082.4,5080.41,5080.86,330,12,0
2026-01-27 10:44:00,5080.86,5082.26,5079.33,5082.26,430,12,0
2026-01-27 10:45:00,5082.26,5084.16,5081.49,5084.09,406,14,0
2026-01-27 10:46:00,5084.09,5085.24,5084.07,5085.14,420,15,0
2026-01-27 10:47:00,5085.14,5085.32,5081.79,5081.86,506,12,0
2026-01-27 10:48:00,5081.74,5082.92,5081.38,5082.2,703,17,0
2026-01-27 10:49:00,5082.2,5083.95,5082.13,5083.59,498,17,0
2026-01-27 10:50:00,5083.59,5083.9,5081.42,5081.44,411,12,0
